,yearstart,yearend,locationabbr,topic,question,datavaluetype,datavalue,stratificationcategory1,stratification1
966547,13.0,12.0,36.0,7.0,2.0,2.0,,2.0,7.0
267545,10.0,9.0,28.0,6.0,69.0,3.0,4.93,2.0,5.0
430358,11.0,10.0,41.0,7.0,115.0,12.0,,2.0,0.0
632806,4.0,3.0,7.0,16.0,135.0,2.0,,0.0,6.0
275285,12.0,11.0,17.0,6.0,69.0,8.0,,2.0,0.0
119161,0.0,3.0,51.0,3.0,26.0,5.0,3.9,2.0,5.0
396804,6.0,5.0,48.0,4.0,70.0,12.0,54.0,2.0,5.0
1004483,4.0,3.0,39.0,16.0,135.0,7.0,,2.0,7.0
572762,10.0,9.0,4.0,0.0,61.0,7.0,4.9,2.0,5.0
743904,12.0,11.0,17.0,14.0,39.0,7.0,81.7,2.0,7.0
34624,7.0,6.0,42.0,2.0,74.0,12.0,1606.0,2.0,10.0
151920,2.0,5.0,34.0,3.0,24.0,4.0,33.7,2.0,5.0
636297,8.0,7.0,8.0,16.0,41.0,2.0,3.5,0.0,6.0
915204,8.0,7.0,31.0,2.0,137.0,2.0,90.7,0.0,4.0
554568,7.0,6.0,1.0,4.0,82.0,7.0,65.9,0.0,6.0
696734,5.0,4.0,14.0,1.0,0.0,7.0,51.5,2.0,10.0
1173659,3.0,2.0,54.0,14.0,168.0,1.0,,2.0,3.0
7564,3.0,2.0,38.0,0.0,33.0,3.0,,2.0,3.0
1131305,10.0,9.0,51.0,1.0,10.0,7.0,28.2,0.0,4.0
272176,4.0,3.0,30.0,6.0,69.0,3.0,,2.0,1.0
1032957,5.0,4.0,41.0,16.0,130.0,7.0,,2.0,3.0
1077318,3.0,2.0,45.0,14.0,52.0,2.0,,2.0,5.0
599669,10.0,9.0,6.0,1.0,10.0,7.0,27.3,2.0,7.0
1159315,10.0,9.0,53.0,4.0,82.0,2.0,,2.0,3.0
49604,6.0,5.0,54.0,2.0,14.0,3.0,,2.0,5.0
156344,5.0,8.0,34.0,3.0,24.0,6.0,12.0,2.0,0.0
386009,5.0,4.0,27.0,4.0,70.0,8.0,8.22,0.0,4.0
589239,3.0,2.0,4.0,7.0,158.0,2.0,,2.0,7.0
682253,13.0,12.0,13.0,2.0,78.0,7.0,,2.0,5.0
52135,7.0,10.0,50.0,3.0,89.0,5.0,,2.0,1.0
16470,2.0,1.0,19.0,2.0,48.0,12.0,,0.0,4.0
622254,7.0,6.0,7.0,7.0,46.0,7.0,80.2,0.0,4.0
263248,2.0,1.0,53.0,6.0,68.0,12.0,,2.0,10.0
235492,8.0,7.0,29.0,6.0,113.0,3.0,,2.0,0.0
262941,10.0,9.0,37.0,6.0,68.0,8.0,,2.0,5.0
534267,12.0,11.0,0.0,16.0,130.0,2.0,23.4,0.0,4.0
636115,7.0,6.0,9.0,0.0,21.0,7.0,15.6,1.0,9.0
194502,0.0,3.0,2.0,3.0,91.0,6.0,545.0,1.0,9.0
510041,11.0,10.0,21.0,14.0,143.0,3.0,242.3,2.0,5.0
615515,8.0,7.0,7.0,2.0,83.0,2.0,54.0,1.0,9.0
131648,4.0,7.0,21.0,3.0,27.0,4.0,2.9,2.0,3.0
328864,12.0,11.0,4.0,4.0,110.0,3.0,108.5,0.0,4.0
258268,9.0,8.0,47.0,6.0,66.0,12.0,267.0,1.0,9.0
197580,3.0,6.0,37.0,3.0,91.0,5.0,26.7,0.0,6.0
17576,5.0,4.0,1.0,2.0,48.0,8.0,,0.0,4.0
580800,5.0,4.0,3.0,11.0,123.0,2.0,82.6,2.0,3.0
298570,7.0,6.0,21.0,6.0,50.0,12.0,470.0,2.0,5.0
910024,7.0,6.0,31.0,11.0,103.0,2.0,35.9,0.0,4.0
315561,3.0,2.0,5.0,4.0,112.0,3.0,180.5,1.0,9.0
1118458,8.0,7.0,50.0,0.0,62.0,7.0,,2.0,3.0
656853,7.0,6.0,10.0,6.0,81.0,2.0,50.9,2.0,3.0
1091114,10.0,9.0,48.0,2.0,78.0,7.0,30.6,2.0,3.0
1152451,13.0,12.0,52.0,6.0,151.0,2.0,4.8,0.0,4.0
176048,5.0,8.0,39.0,3.0,28.0,5.0,85.3,1.0,9.0
68358,5.0,8.0,13.0,3.0,30.0,4.0,,2.0,3.0
1078127,6.0,5.0,46.0,16.0,165.0,2.0,67.6,0.0,4.0
609996,7.0,6.0,7.0,6.0,149.0,7.0,,2.0,7.0
824543,11.0,10.0,24.0,7.0,157.0,7.0,68.3,0.0,6.0
223892,3.0,2.0,42.0,5.0,75.0,0.0,353.2,1.0,9.0
470968,5.0,4.0,6.0,11.0,121.0,7.0,19.0,2.0,5.0
30559,10.0,9.0,7.0,2.0,74.0,3.0,11.58,1.0,9.0
767409,9.0,8.0,19.0,1.0,177.0,2.0,31.4,2.0,10.0
321925,4.0,3.0,22.0,4.0,110.0,8.0,202.5,2.0,10.0
916491,10.0,9.0,32.0,0.0,61.0,7.0,5.0,0.0,4.0
242230,8.0,7.0,39.0,6.0,114.0,12.0,,2.0,0.0
888430,6.0,5.0,29.0,2.0,36.0,7.0,8.7,1.0,9.0
873212,10.0,9.0,28.0,13.0,5.0,7.0,,2.0,5.0
1164769,6.0,5.0,52.0,16.0,165.0,2.0,,2.0,5.0
764331,8.0,7.0,19.0,7.0,186.0,2.0,,2.0,5.0
869347,5.0,4.0,28.0,6.0,134.0,2.0,,2.0,7.0
1105152,11.0,10.0,49.0,1.0,11.0,2.0,,2.0,10.0
22119,6.0,5.0,51.0,0.0,33.0,3.0,11.1,1.0,9.0
1127887,13.0,12.0,50.0,0.0,21.0,2.0,,2.0,3.0
1147501,13.0,12.0,52.0,14.0,52.0,2.0,17.4,2.0,5.0
638065,11.0,10.0,9.0,2.0,78.0,2.0,,2.0,8.0
346814,4.0,3.0,31.0,4.0,111.0,8.0,,2.0,5.0
767430,11.0,10.0,19.0,1.0,1.0,7.0,12.9,0.0,6.0
661327,8.0,7.0,10.0,0.0,21.0,7.0,13.3,1.0,9.0
888220,6.0,5.0,28.0,16.0,135.0,7.0,68.6,0.0,4.0
365241,4.0,3.0,4.0,4.0,108.0,3.0,35.2,0.0,6.0
656220,11.0,10.0,10.0,10.0,169.0,10.0,6.6,2.0,7.0
1045989,4.0,3.0,42.0,4.0,131.0,7.0,,2.0,7.0
68798,5.0,8.0,9.0,3.0,90.0,5.0,,0.0,4.0
1136606,5.0,4.0,50.0,16.0,43.0,7.0,51.4,2.0,7.0
911925,12.0,11.0,31.0,1.0,51.0,2.0,22.2,1.0,9.0
265418,5.0,4.0,28.0,6.0,66.0,3.0,319.18,0.0,4.0
1162607,7.0,6.0,53.0,4.0,77.0,2.0,33.7,1.0,9.0
576444,5.0,4.0,4.0,2.0,137.0,2.0,76.5,1.0,9.0
1051054,5.0,4.0,43.0,14.0,39.0,7.0,84.7,1.0,9.0
591291,11.0,10.0,5.0,6.0,152.0,7.0,,2.0,7.0
837990,11.0,10.0,26.0,1.0,11.0,7.0,40.4,0.0,4.0
579980,13.0,12.0,4.0,1.0,12.0,7.0,,2.0,7.0
757,4.0,3.0,38.0,0.0,33.0,3.0,8.4,0.0,4.0
641479,12.0,11.0,8.0,7.0,155.0,7.0,,2.0,7.0
1099545,12.0,11.0,47.0,10.0,16.0,7.0,23.5,1.0,9.0
349699,6.0,5.0,43.0,4.0,109.0,8.0,,2.0,3.0
376561,10.0,9.0,2.0,4.0,70.0,3.0,21.21,0.0,4.0
262974,7.0,6.0,43.0,6.0,68.0,12.0,968.0,2.0,10.0
134644,7.0,10.0,15.0,3.0,27.0,4.0,,2.0,1.0
1155748,13.0,12.0,52.0,14.0,168.0,10.0,4.2,2.0,3.0
1027737,13.0,12.0,41.0,10.0,169.0,10.0,5.9,2.0,7.0
53264,5.0,8.0,12.0,3.0,89.0,4.0,13.2,1.0,9.0
18183,2.0,1.0,16.0,2.0,48.0,3.0,,0.0,6.0
1147185,13.0,12.0,52.0,0.0,20.0,1.0,6.9,2.0,8.0
459155,8.0,7.0,53.0,7.0,73.0,12.0,1415,2.0,3.0
1105550,5.0,4.0,49.0,0.0,21.0,7.0,,2.0,10.0
932639,12.0,11.0,33.0,11.0,59.0,2.0,30.1,2.0,3.0
950944,8.0,7.0,34.0,7.0,155.0,7.0,,2.0,7.0
632291,12.0,11.0,7.0,16.0,37.0,7.0,,2.0,7.0
228077,4.0,3.0,30.0,5.0,116.0,3.0,,2.0,1.0
755563,3.0,2.0,18.0,11.0,117.0,7.0,29.2,2.0,10.0
625273,5.0,4.0,8.0,7.0,157.0,7.0,,2.0,8.0
369167,10.0,9.0,25.0,4.0,108.0,8.0,12.2,2.0,5.0
496292,1.0,0.0,50.0,14.0,92.0,12.0,18.0,0.0,6.0
1094750,11.0,10.0,47.0,7.0,158.0,2.0,52.2,0.0,4.0
732886,9.0,8.0,17.0,1.0,1.0,2.0,17.5,2.0,5.0
1053256,4.0,3.0,43.0,14.0,168.0,10.0,1.8,1.0,9.0
954376,5.0,4.0,35.0,1.0,1.0,7.0,16.3,2.0,5.0
712863,4.0,3.0,15.0,6.0,148.0,2.0,,2.0,8.0
980003,7.0,6.0,37.0,5.0,150.0,7.0,,2.0,7.0
291931,4.0,3.0,44.0,6.0,67.0,12.0,58.0,2.0,5.0
367714,7.0,6.0,19.0,4.0,108.0,3.0,43.8,0.0,4.0
474708,9.0,8.0,6.0,12.0,71.0,3.0,10.81,0.0,4.0
811276,4.0,3.0,23.0,4.0,131.0,7.0,46.2,1.0,9.0
1120478,8.0,7.0,49.0,13.0,185.0,2.0,50.4,1.0,9.0
926056,9.0,8.0,32.0,4.0,182.0,7.0,66.3,2.0,5.0
197359,7.0,10.0,24.0,3.0,91.0,6.0,2138.0,2.0,10.0
1180024,3.0,2.0,54.0,4.0,77.0,2.0,25.2,0.0,6.0
525314,12.0,11.0,30.0,15.0,55.0,7.0,29.1,2.0,7.0
428152,9.0,8.0,0.0,7.0,115.0,3.0,,2.0,3.0
544893,3.0,2.0,1.0,4.0,77.0,2.0,,2.0,5.0
222007,9.0,8.0,25.0,5.0,116.0,12.0,,2.0,0.0
471308,6.0,5.0,0.0,12.0,71.0,12.0,264,1.0,9.0
1147742,4.0,3.0,52.0,7.0,2.0,7.0,65.3,0.0,4.0
1038140,4.0,3.0,42.0,0.0,20.0,1.0,,2.0,7.0
536728,6.0,5.0,0.0,7.0,56.0,7.0,81.7,0.0,6.0
463728,11.0,10.0,10.0,12.0,71.0,12.0,7690,2.0,10.0
809192,3.0,2.0,22.0,6.0,149.0,7.0,,2.0,5.0
863281,4.0,3.0,27.0,7.0,79.0,7.0,,2.0,3.0
8460,12.0,11.0,22.0,0.0,33.0,8.0,19.1,2.0,10.0
702011,8.0,7.0,14.0,1.0,51.0,7.0,32.6,1.0,9.0
318091,11.0,10.0,5.0,4.0,110.0,12.0,4252.0,0.0,6.0
710222,12.0,11.0,14.0,16.0,37.0,7.0,14.3,1.0,9.0
223046,6.0,5.0,16.0,6.0,113.0,8.0,,2.0,0.0
588503,11.0,10.0,5.0,4.0,82.0,7.0,72.3,2.0,10.0
657388,6.0,5.0,10.0,3.0,126.0,7.0,84.5,1.0,9.0
774644,8.0,7.0,20.0,6.0,149.0,7.0,,1.0,9.0
469609,9.0,8.0,23.0,11.0,121.0,7.0,14.4,2.0,10.0
573122,7.0,6.0,3.0,4.0,17.0,7.0,26.2,2.0,7.0
776118,5.0,4.0,20.0,15.0,184.0,7.0,67.7,2.0,8.0
927591,6.0,5.0,32.0,0.0,61.0,2.0,2.6,2.0,5.0
346924,6.0,5.0,12.0,4.0,111.0,8.0,63.4,0.0,4.0
310447,5.0,4.0,8.0,4.0,112.0,8.0,71.4,2.0,1.0
134978,0.0,3.0,33.0,3.0,87.0,4.0,7.4,1.0,9.0
176499,5.0,8.0,53.0,3.0,28.0,4.0,26.2,2.0,5.0
1089398,5.0,4.0,45.0,7.0,79.0,2.0,39.0,1.0,9.0
150942,0.0,3.0,15.0,3.0,24.0,4.0,55.5,0.0,6.0
430205,8.0,7.0,25.0,7.0,115.0,8.0,1.4,2.0,10.0
108405,0.0,3.0,24.0,3.0,86.0,5.0,112.2,2.0,0.0
832593,3.0,2.0,24.0,14.0,170.0,1.0,,2.0,10.0
634602,3.0,2.0,7.0,16.0,43.0,7.0,30.8,2.0,3.0
104010,1.0,4.0,18.0,3.0,86.0,4.0,202.6,1.0,9.0
1016614,12.0,11.0,40.0,4.0,131.0,2.0,,2.0,7.0
818120,5.0,4.0,24.0,2.0,137.0,2.0,96.6,0.0,4.0
273676,2.0,1.0,9.0,6.0,69.0,8.0,25.88,2.0,5.0
66528,6.0,9.0,33.0,3.0,30.0,5.0,2.9,1.0,9.0
374533,7.0,6.0,16.0,4.0,108.0,12.0,2959.0,1.0,9.0
679381,4.0,3.0,13.0,0.0,20.0,1.0,7.6,2.0,10.0
236252,11.0,10.0,4.0,6.0,114.0,8.0,229.9,2.0,0.0
400176,9.0,8.0,8.0,4.0,72.0,8.0,,1.0,9.0
675570,10.0,9.0,11.0,7.0,186.0,7.0,44.1,2.0,8.0
723053,12.0,11.0,15.0,12.0,163.0,7.0,,2.0,7.0
687520,7.0,6.0,12.0,7.0,46.0,2.0,69.7,1.0,9.0
1069149,9.0,8.0,45.0,1.0,51.0,7.0,43.9,0.0,4.0
281310,6.0,5.0,29.0,6.0,67.0,12.0,220.0,2.0,0.0
653539,9.0,8.0,10.0,7.0,2.0,2.0,,2.0,7.0
255489,9.0,8.0,33.0,6.0,66.0,8.0,292.38,2.0,10.0
33524,7.0,6.0,18.0,2.0,74.0,3.0,,2.0,1.0
1088272,5.0,4.0,45.0,16.0,43.0,2.0,18.3,2.0,3.0
481721,2.0,1.0,43.0,12.0,147.0,7.0,,2.0,3.0
632928,12.0,11.0,7.0,1.0,11.0,2.0,,2.0,7.0
518913,11.0,10.0,26.0,15.0,55.0,7.0,,2.0,1.0
939406,13.0,12.0,34.0,14.0,52.0,7.0,15.9,2.0,10.0
705782,10.0,9.0,15.0,4.0,131.0,7.0,,2.0,10.0
71134,2.0,5.0,15.0,3.0,30.0,4.0,,2.0,3.0
967229,4.0,3.0,36.0,1.0,129.0,7.0,48.5,2.0,5.0
940269,6.0,5.0,33.0,9.0,80.0,7.0,42.2,2.0,8.0
616961,10.0,9.0,7.0,1.0,10.0,7.0,21.6,0.0,4.0
153616,0.0,3.0,41.0,3.0,27.0,5.0,,2.0,5.0
918300,10.0,9.0,32.0,7.0,84.0,7.0,,2.0,5.0
337493,8.0,7.0,24.0,4.0,109.0,12.0,94.0,2.0,3.0
594141,5.0,4.0,5.0,6.0,152.0,7.0,8.0,2.0,8.0
1021311,4.0,3.0,40.0,14.0,52.0,2.0,34.7,1.0,9.0
649388,4.0,3.0,9.0,16.0,135.0,7.0,,2.0,3.0
1181125,8.0,7.0,54.0,0.0,21.0,2.0,13.3,0.0,4.0
275740,6.0,5.0,36.0,6.0,69.0,12.0,16803.0,1.0,9.0
436352,5.0,4.0,2.0,7.0,9.0,12.0,255.0,2.0,3.0
822075,3.0,2.0,24.0,6.0,153.0,2.0,,2.0,3.0
1144640,9.0,8.0,51.0,14.0,168.0,1.0,2.8,1.0,9.0
258243,6.0,5.0,42.0,6.0,68.0,12.0,,2.0,5.0
337567,10.0,9.0,50.0,4.0,110.0,12.0,,2.0,1.0
6347,7.0,6.0,50.0,0.0,4.0,7.0,68.9,1.0,9.0
1113662,11.0,10.0,48.0,10.0,169.0,1.0,3.5,0.0,6.0
771943,9.0,8.0,20.0,0.0,21.0,2.0,10.9,2.0,3.0
163084,6.0,9.0,51.0,3.0,25.0,4.0,7.7,2.0,5.0
232025,11.0,10.0,29.0,6.0,113.0,3.0,,2.0,0.0
264213,5.0,4.0,30.0,6.0,66.0,8.0,,2.0,5.0
1106600,9.0,8.0,48.0,11.0,103.0,7.0,29.4,0.0,4.0
1066121,12.0,11.0,44.0,6.0,151.0,2.0,7.4,0.0,6.0
96302,2.0,5.0,28.0,3.0,85.0,6.0,26819.0,0.0,6.0
361259,4.0,3.0,12.0,4.0,111.0,3.0,65.1,0.0,6.0
404676,11.0,10.0,7.0,7.0,107.0,12.0,,2.0,0.0
1086025,6.0,5.0,45.0,13.0,5.0,2.0,12.6,1.0,9.0
319341,12.0,11.0,23.0,4.0,110.0,3.0,194.1,2.0,10.0
377400,11.0,10.0,20.0,4.0,70.0,8.0,24.97,0.0,4.0
950543,6.0,5.0,35.0,1.0,12.0,2.0,42.8,2.0,10.0
3374,2.0,1.0,3.0,0.0,33.0,12.0,870,1.0,9.0
736658,7.0,6.0,16.0,7.0,46.0,2.0,53.7,0.0,6.0
1049362,3.0,2.0,43.0,0.0,19.0,10.0,3.5,2.0,8.0
485708,5.0,4.0,31.0,12.0,71.0,12.0,,2.0,1.0
904732,10.0,9.0,31.0,7.0,138.0,7.0,85.9,1.0,9.0
1150851,8.0,7.0,52.0,7.0,84.0,7.0,53.3,2.0,10.0
207586,6.0,5.0,17.0,5.0,116.0,8.0,17.0,2.0,5.0
1180623,10.0,9.0,54.0,7.0,138.0,7.0,80.2,0.0,6.0
288841,9.0,8.0,21.0,6.0,67.0,3.0,117.06,2.0,0.0
487724,11.0,10.0,17.0,12.0,71.0,8.0,9.1,2.0,10.0
706275,5.0,4.0,14.0,11.0,59.0,2.0,,2.0,3.0
241829,9.0,8.0,38.0,6.0,113.0,8.0,103.9,2.0,0.0
539435,8.0,7.0,0.0,0.0,62.0,7.0,,2.0,3.0
243107,2.0,1.0,7.0,6.0,68.0,3.0,,1.0,9.0
324549,2.0,1.0,43.0,4.0,112.0,8.0,272.7,1.0,9.0
17296,2.0,1.0,45.0,0.0,33.0,3.0,10.5,2.0,10.0
769226,9.0,8.0,19.0,7.0,157.0,7.0,,2.0,8.0
2027,6.0,5.0,36.0,0.0,33.0,8.0,12.6,1.0,9.0
118218,1.0,4.0,8.0,3.0,26.0,5.0,23.8,2.0,3.0
657494,3.0,2.0,10.0,16.0,130.0,7.0,23.6,0.0,4.0
227592,6.0,5.0,12.0,5.0,75.0,12.0,725.0,1.0,9.0
375233,10.0,9.0,48.0,4.0,108.0,8.0,17.5,2.0,1.0
927247,10.0,9.0,32.0,4.0,77.0,2.0,,2.0,8.0
250415,5.0,4.0,30.0,6.0,114.0,3.0,,2.0,0.0
733916,12.0,11.0,16.0,7.0,138.0,7.0,,2.0,5.0
541517,11.0,10.0,0.0,4.0,182.0,7.0,54.9,0.0,6.0
417777,11.0,10.0,36.0,7.0,107.0,3.0,107.5,2.0,3.0
66157,7.0,10.0,1.0,3.0,90.0,4.0,,0.0,4.0
1174837,4.0,3.0,54.0,11.0,125.0,7.0,54.4,1.0,9.0
62886,0.0,3.0,13.0,3.0,30.0,5.0,2.8,2.0,10.0
684705,12.0,11.0,12.0,4.0,82.0,7.0,63.9,2.0,10.0
573838,3.0,2.0,3.0,7.0,2.0,2.0,39.6,0.0,6.0
547765,9.0,8.0,1.0,1.0,1.0,7.0,,2.0,10.0
175237,2.0,5.0,14.0,3.0,28.0,5.0,,2.0,3.0
733618,9.0,8.0,17.0,11.0,103.0,7.0,30.1,2.0,7.0
1028876,3.0,2.0,41.0,7.0,58.0,7.0,,2.0,5.0
713052,6.0,5.0,15.0,6.0,152.0,2.0,,2.0,8.0
826534,6.0,5.0,24.0,7.0,156.0,2.0,6.8,2.0,10.0
928630,4.0,3.0,32.0,6.0,149.0,2.0,52.5,1.0,9.0
949475,8.0,7.0,34.0,6.0,148.0,7.0,,2.0,10.0
721531,9.0,8.0,16.0,2.0,83.0,2.0,61.1,1.0,9.0
152777,5.0,8.0,39.0,3.0,24.0,4.0,3.8,2.0,3.0
807401,3.0,2.0,22.0,11.0,123.0,7.0,58.1,0.0,4.0
363420,9.0,8.0,16.0,4.0,108.0,12.0,1836.0,0.0,4.0
778803,5.0,4.0,20.0,4.0,136.0,7.0,78.0,0.0,6.0
117015,6.0,9.0,44.0,3.0,88.0,6.0,5189.0,1.0,9.0
3467,11.0,10.0,20.0,0.0,33.0,12.0,746,1.0,9.0
26520,2.0,1.0,47.0,2.0,48.0,8.0,28.46,1.0,9.0
216967,6.0,5.0,10.0,6.0,113.0,12.0,1973.0,0.0,6.0
638412,5.0,4.0,9.0,11.0,98.0,11.0,1.3,2.0,7.0
827674,8.0,7.0,24.0,16.0,43.0,2.0,16.8,0.0,6.0
18780,9.0,8.0,0.0,2.0,48.0,3.0,,2.0,5.0
505827,8.0,7.0,26.0,14.0,143.0,3.0,272.7,2.0,5.0
257613,9.0,8.0,35.0,6.0,66.0,3.0,,1.0,9.0
695891,13.0,12.0,14.0,11.0,59.0,2.0,25.4,2.0,5.0
956170,5.0,4.0,35.0,0.0,19.0,10.0,4.1,0.0,6.0
1113059,5.0,4.0,48.0,7.0,2.0,2.0,63.9,0.0,6.0
1077122,10.0,9.0,45.0,13.0,185.0,2.0,59.2,0.0,6.0
779251,8.0,7.0,20.0,14.0,176.0,7.0,90.2,2.0,3.0
981141,10.0,9.0,37.0,3.0,126.0,7.0,76.2,1.0,9.0
689718,12.0,11.0,12.0,11.0,123.0,2.0,57.0,2.0,8.0
5878,11.0,10.0,33.0,0.0,33.0,8.0,18.6,2.0,10.0
262538,7.0,6.0,27.0,6.0,68.0,8.0,,2.0,0.0
845639,12.0,11.0,25.0,1.0,129.0,2.0,25.6,2.0,8.0
81579,6.0,9.0,54.0,3.0,90.0,5.0,,0.0,4.0
656502,3.0,2.0,10.0,4.0,18.0,7.0,25.1,2.0,3.0
288698,7.0,6.0,17.0,6.0,67.0,3.0,23.23,2.0,1.0
580232,7.0,6.0,3.0,14.0,168.0,1.0,2.5,2.0,10.0
672070,13.0,12.0,12.0,2.0,137.0,7.0,,2.0,7.0
1181112,10.0,9.0,54.0,10.0,169.0,10.0,8.1,2.0,7.0
635922,6.0,5.0,8.0,14.0,40.0,2.0,11.2,1.0,9.0
1063467,10.0,9.0,44.0,13.0,118.0,7.0,59.6,0.0,4.0
1037246,3.0,2.0,42.0,6.0,151.0,7.0,9.5,0.0,4.0
1042628,7.0,6.0,42.0,6.0,151.0,7.0,6.3,2.0,8.0
373252,2.0,1.0,20.0,4.0,108.0,3.0,30.8,2.0,1.0
763127,5.0,4.0,19.0,14.0,176.0,7.0,82.8,2.0,3.0
832698,10.0,9.0,24.0,13.0,118.0,7.0,64.9,2.0,5.0
944118,12.0,11.0,34.0,3.0,96.0,7.0,,2.0,3.0
969089,10.0,9.0,35.0,12.0,163.0,7.0,29.0,0.0,4.0
30581,7.0,6.0,25.0,0.0,6.0,15.0,2.00,1.0,9.0
306329,6.0,5.0,42.0,6.0,49.0,3.0,,2.0,0.0
1074111,4.0,3.0,45.0,3.0,54.0,2.0,54.9,2.0,8.0
321861,9.0,8.0,45.0,4.0,112.0,8.0,322.5,2.0,10.0
874886,11.0,10.0,28.0,14.0,176.0,7.0,87.7,2.0,3.0
506278,3.0,2.0,33.0,14.0,143.0,12.0,1382.0,0.0,4.0
967049,8.0,7.0,36.0,2.0,36.0,7.0,12.7,2.0,3.0
1050951,12.0,11.0,43.0,0.0,20.0,1.0,7.3,2.0,10.0
1029319,7.0,6.0,41.0,16.0,130.0,2.0,,2.0,3.0
707112,11.0,10.0,14.0,11.0,105.0,2.0,,2.0,3.0
1046743,8.0,7.0,42.0,3.0,54.0,2.0,68.5,2.0,10.0
226097,12.0,11.0,33.0,5.0,116.0,3.0,144.6,2.0,0.0
154855,7.0,10.0,24.0,3.0,24.0,5.0,43.3,1.0,9.0
647955,9.0,8.0,9.0,11.0,105.0,7.0,19.3,2.0,3.0
653666,5.0,4.0,10.0,7.0,56.0,7.0,74.7,0.0,4.0
668063,13.0,12.0,12.0,7.0,157.0,7.0,67.5,2.0,5.0
67914,1.0,4.0,9.0,3.0,90.0,6.0,2338.0,2.0,3.0
899616,10.0,9.0,30.0,4.0,131.0,7.0,,2.0,5.0
1103571,5.0,4.0,47.0,14.0,168.0,10.0,2.4,0.0,4.0
852355,7.0,6.0,27.0,4.0,182.0,2.0,,2.0,5.0
1100464,5.0,4.0,47.0,7.0,58.0,7.0,,1.0,9.0
12227,2.0,1.0,3.0,0.0,33.0,3.0,15.4,2.0,5.0
81150,1.0,4.0,16.0,3.0,31.0,5.0,,0.0,4.0
989927,7.0,6.0,38.0,1.0,13.0,2.0,35.3,2.0,10.0
911841,11.0,10.0,31.0,6.0,81.0,2.0,56.6,0.0,4.0
318982,5.0,4.0,5.0,4.0,110.0,8.0,49.1,2.0,1.0
438506,9.0,8.0,12.0,7.0,73.0,12.0,,2.0,5.0
311244,10.0,9.0,15.0,4.0,112.0,8.0,329.0,2.0,10.0
282042,2.0,1.0,9.0,6.0,67.0,3.0,86.9,1.0,9.0
97782,6.0,9.0,23.0,3.0,85.0,6.0,6628.0,2.0,3.0
380207,12.0,11.0,44.0,4.0,70.0,3.0,23.05,2.0,10.0
796691,11.0,10.0,21.0,1.0,11.0,7.0,30.3,0.0,6.0
846593,4.0,3.0,25.0,16.0,165.0,7.0,58.3,2.0,3.0
983548,8.0,7.0,36.0,9.0,80.0,7.0,30.7,2.0,7.0
698875,13.0,12.0,14.0,10.0,169.0,1.0,4.8,2.0,5.0
54599,2.0,1.0,51.0,2.0,14.0,8.0,14.2,0.0,4.0
689068,9.0,8.0,12.0,11.0,120.0,2.0,24.1,1.0,9.0
648512,4.0,3.0,9.0,7.0,186.0,2.0,47.7,2.0,5.0
83614,0.0,3.0,22.0,3.0,31.0,6.0,142.0,2.0,10.0
739915,10.0,9.0,16.0,13.0,178.0,2.0,49.9,2.0,8.0
462629,12.0,11.0,0.0,12.0,71.0,12.0,,2.0,5.0
387594,11.0,10.0,9.0,4.0,70.0,3.0,21.53,2.0,1.0
970527,3.0,2.0,37.0,0.0,22.0,7.0,15.2,1.0,9.0
759906,8.0,7.0,19.0,0.0,21.0,2.0,12.5,0.0,4.0
1102001,11.0,10.0,47.0,6.0,151.0,7.0,,2.0,8.0
118493,2.0,5.0,53.0,3.0,88.0,6.0,1389.0,2.0,10.0
798194,5.0,4.0,22.0,6.0,151.0,2.0,6.2,1.0,9.0
1053152,11.0,10.0,43.0,14.0,170.0,10.0,3.6,1.0,9.0
734605,8.0,7.0,17.0,6.0,153.0,2.0,,2.0,8.0
447055,8.0,7.0,25.0,7.0,9.0,8.0,,2.0,3.0
823402,7.0,6.0,24.0,1.0,51.0,2.0,32.1,2.0,7.0
5102,5.0,4.0,2.0,0.0,3.0,7.0,,2.0,0.0
30008,8.0,7.0,1.0,2.0,74.0,3.0,,2.0,10.0
758937,11.0,10.0,19.0,7.0,79.0,2.0,44.8,1.0,9.0
117124,5.0,8.0,5.0,3.0,26.0,6.0,482.0,2.0,10.0
134677,0.0,3.0,7.0,3.0,87.0,4.0,9.8,0.0,4.0
210997,2.0,5.0,4.0,3.0,106.0,6.0,863.0,2.0,10.0
454868,9.0,8.0,7.0,11.0,102.0,7.0,9.4,0.0,4.0
922947,13.0,12.0,33.0,11.0,123.0,7.0,64.0,2.0,10.0
1022952,6.0,5.0,40.0,2.0,83.0,2.0,,0.0,6.0
443003,10.0,9.0,28.0,7.0,73.0,3.0,198.05,1.0,9.0
851133,5.0,4.0,27.0,7.0,84.0,2.0,,2.0,3.0
984708,11.0,10.0,38.0,4.0,17.0,2.0,27.6,2.0,10.0
1119152,10.0,9.0,50.0,6.0,81.0,2.0,44.3,1.0,9.0
195394,2.0,5.0,32.0,3.0,91.0,4.0,30.3,2.0,10.0
319255,4.0,3.0,13.0,4.0,110.0,8.0,43.8,2.0,1.0
1091909,5.0,4.0,47.0,4.0,18.0,7.0,,2.0,7.0
753290,8.0,7.0,18.0,1.0,12.0,2.0,,2.0,5.0
261385,7.0,6.0,42.0,6.0,68.0,8.0,,2.0,1.0
