,yearstart,yearend,locationabbr,topic,question,datavaluetype,datavalue,stratificationcategory1,stratification1
254339,4.0,3.0,27.0,6.0,114.0,12.0,,2.0,3.0
717078,3.0,2.0,16.0,1.0,0.0,2.0,47.6,2.0,10.0
100715,6.0,9.0,37.0,3.0,85.0,6.0,10428.0,0.0,6.0
540629,11.0,10.0,0.0,2.0,132.0,7.0,,2.0,5.0
937638,3.0,2.0,33.0,7.0,45.0,7.0,6.9,2.0,8.0
910644,5.0,4.0,31.0,6.0,81.0,7.0,,2.0,7.0
1131799,4.0,3.0,51.0,7.0,155.0,2.0,,2.0,3.0
361363,9.0,8.0,31.0,4.0,111.0,8.0,135.3,0.0,4.0
344727,7.0,6.0,44.0,4.0,110.0,8.0,238.3,1.0,9.0
608138,5.0,4.0,6.0,1.0,10.0,2.0,21.1,1.0,9.0
655092,3.0,2.0,10.0,11.0,120.0,7.0,26.7,0.0,6.0
1147086,5.0,4.0,51.0,14.0,159.0,7.0,51.0,2.0,3.0
348168,6.0,5.0,27.0,4.0,111.0,8.0,,2.0,1.0
707492,12.0,11.0,14.0,3.0,54.0,7.0,55.1,2.0,5.0
888,12.0,11.0,25.0,0.0,33.0,12.0,,2.0,0.0
244092,11.0,10.0,45.0,6.0,114.0,12.0,17614.0,2.0,10.0
243012,4.0,3.0,42.0,6.0,114.0,8.0,267.4,2.0,10.0
936932,10.0,9.0,33.0,7.0,84.0,7.0,51.7,2.0,5.0
972588,3.0,2.0,37.0,6.0,134.0,7.0,67.9,1.0,9.0
224104,3.0,2.0,38.0,5.0,116.0,8.0,95.2,0.0,6.0
1132339,10.0,9.0,51.0,2.0,132.0,2.0,,2.0,3.0
380161,7.0,6.0,3.0,4.0,70.0,3.0,15.39,2.0,10.0
441407,5.0,4.0,28.0,7.0,73.0,8.0,325.44,2.0,0.0
278313,6.0,5.0,35.0,6.0,69.0,3.0,12.22,0.0,4.0
200828,1.0,4.0,34.0,3.0,29.0,4.0,54.3,0.0,6.0
126398,4.0,7.0,28.0,3.0,26.0,5.0,29.7,2.0,3.0
235165,7.0,6.0,36.0,6.0,113.0,3.0,35.4,2.0,5.0
1063252,3.0,2.0,45.0,2.0,15.0,7.0,8.5,2.0,10.0
358802,8.0,7.0,45.0,4.0,109.0,8.0,107.7,0.0,6.0
852791,11.0,10.0,27.0,4.0,77.0,2.0,28.8,2.0,10.0
897708,5.0,4.0,30.0,14.0,168.0,1.0,2.0,0.0,4.0
336546,12.0,11.0,12.0,4.0,109.0,8.0,,2.0,3.0
